Plant ID,Plant latin name,Cultivation entry ID,Cultivation entry name,Detail page ID,BRAND,Propagation,Preferred growing condition,"Sowing, planting and nursery management",Fertilization,Field management,Prevention and control of plant diseases and pests,Harvest and post-harvest processing,Yield,REFERENCE_DATA,Reference data file,Table of characteristic properties,Crop calendar,Cultivation Photo,Memo,Memo file,Cultivation photo count,Cultivation photo files
24,Achyranthes fauriei Lév. et Vaniot,27,Plant culture,27,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,9,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
77,Aconitum carmichaeli Debeaux,76,Plant culture,76,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,10,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
51,Angelica acutiloba Kitagawa,29,Plant culture,29,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
52,Angelica acutiloba var. sugiyamae Hikino,30,Plant culture,30,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
55,Angelica dahurica (Fisch.) Benth. et Hook. fil.,75,Plant culture,75,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,12,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
5,Arctostaphylos uva-ursi (Linne) Sprengel,43,Plant culture,43,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,8,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
101,Artemisia annua L.,46,Plant culture,46,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,14,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
3,Artemisia capillaris Thunberg,49,Plant culture,49,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,12,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
6,Astragalus membranaceus Bunge,36,Plant culture,36,,,,,,,,,,,,,,,,,,
48,Atractylodes lancea De Candole,24,Plant culture,24,,,,,,,,,,,,,,,,,,
57,Atractylodes ovata DC.,31,Plant culture,31,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,8,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
28,Bupleurum falcatum L.,7,Plant culture,7,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
23,Carthamus tinctorius L.,19,Plant culture,19,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,7,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
46,Cassia angustifolia Vahl,61,Plant culture,61,,,,,,,,,,,,,,,,,,
20,Cassia obtusifolia L.,20,Plant culture,20,,,,,,,,,,,,,,get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi; get_image.cgi,,,6,"get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi, get_image.cgi"
