Plant ID,Plant latin name,Tissue literature ID,Tissue literature name,Detail page ID,Literature code,Reference,Summary,Objectives,Materials,Explant,Initial culture,Shoot multiplication,Rooting,Acclimation,Planting,Cultivation conditions,Traints of regenerants,Ingredients analyzed,Extraction,Analitical methods,Notes,Original code,Publication,Explant sterilization,Traints of regenerant,Ingredients produced
25,Achyranthes bidentata Blume,29,Achyranthes_bidentata-Ref-1,29,Achyranthes_bidentata-Ref-1,"Gnanaraj W.E. et al, Asian Pacific Journal of Tropical Biomedicine 2(1): 1-5 (2012)","Objective: To develop the reproducible in vitro propagation protocols for the medicinally important plants viz, Achyranthes aspera(A.aspera) L. and Achyranthes bidentata (A. bidentata) Blume using nodal segments as explants. Method: Young shoots of A. aspera and A. bidentata were harvested and washed with running tap water and treated with 0.1% bavistin and rinsed twice with distilled water. Then the explants were surface sterilized with 0.1%(w/v)HgCl2 solutions for 1 min. After rinsing with sterile distilled water for 3-4 times, nodal segments were cut into smaller segments(1 cm) and used as the explants. The explants were placed horizontally as well as vertically on solid basal Murashige and Skoog(MS) medium supplemented with 3% sucrose, 0.6%(w/v)agar(Hi-Media, Mumbai) and different concentration and combination of 6-benzyl amino purine(BAP), kinetin(Kin), naphthalene acetic acid(NAA) and indole acetic acid(IAA) for direct regeneration. Results: Adventitious proliferation was obtained from A. aspera and A. bidentata nodal segments inoculated on MS basal medium with 3% sucrose and augmented with BAP and Kin with varied frequency. MS medium augmented with 3.0 mg/L of BAP showed the highest percentage (93.60±0.71) of shootlets formation for A. aspera and (94.70±0.53) percentages for A. bidentata. Maximum number of shoots/explants (10.60±0.36) for A. aspera and (9.50±0.56) for A. bidentata was observed in MS medium fortified with 5.0 mg/L of BAP. For A. aspera, maximum mean length (5.50±0.34) of shootlets was obtained in MS medium augmented with 3.0 mg/L of Kin and for A. bidentata (5.40±0.61) was observed in the very same concentraion. The highest percentage, maximum number of rootlets/shootlet and mean length of rootlets were observed in 1/2 MS medium supplemented with 1.0 mg/L of IBA. Seventy percentages of plants were successfully established in polycups. Sixty eight percentages of plants were well established in the green house condition. Sixty five percentages of plants were established in the field. Conclusions: The results have shown that use of nodal buds is an alternative reproducible and dependable method for clonal propagation of A. aspera and A. bidentata. The high rate of direct shoot-root multiplication and thier high rate of post-hardening survival indicate that this protocol can be easily adopted for commercial large scale cultivation.",,,,,,,,,,,,,,,,,,,
24,Achyranthes fauriei Lév. et Vaniot,28,Achyranthes_fauriei-Ref-1,28,Achyranthes_fauriei-Ref-1,"Hikino H. et al, Yakugaku Zasshi 95: 581-589 (1975)","Induction and growth of seedling callus tissues, redifferentiation of the callus tissues into normal plants, and normal root culture of Achyranthes spp. (Amaranthaceae) were examined, and the effective conditions for the respective cultivation were determined. Formation of phytoecdysones in the cultured tissues was shown by bioassay (the Sarcophaga test), thin-layer chromatography, and gas-liquid chromatography of the extracts.",,,,,,,,,,,,,,,,,,,
77,Aconitum carmichaeli Debeaux,53,Aconitum_carmichaeli-Ref-1,53,Aconitum_carmichaeli-Ref-1,"Hatano K et al., Plant Cell Reports 6:446-448 (1987)","Anthers of Aconitun carmichaeli Debx. were used for callus induction. After the addition of 5ppm 2,4-D and 1ppm kinetin callus induction occurred over a period of 15 weeks. When calluses were subcultured on a medium containing 1 ppm 2,4-D for 12 weeks, embryogenesis occurred. Mature somatic embryos developed normal shoots when transferred to basal medium inoculated with 1 ppm GA and 5 ppm BAP. Rooting occurred after the transfer of shoots to a new medium containing 0.5 ppm IAA and plantlets formed. The transplantation of these was successful and all plants matured during 5 months subsequent cultivation.",,,,,,,,,,,,,,,,,,,
77,Aconitum carmichaeli Debeaux,104,Aconitum_carmichaeli-Ref-2,104,Aconitum_carmichaeli-Ref-2,"C. SHIPING S. J. SHAN，H. TANAKA and Y. SHOYAMA, BIOTRONICS 27，15-20，1998","The clonally propagated Aconitum carmichaelii Debx. was used for the investigation of microtubering. The rooting condition of propagated shoots affected the establishment of transplantation to soil indicating the Murashige-Skoog medium supplemented with 0.5 mg/l of IAA and the cultivation at 20oC are the best. Culturing at 15°C under the dark enhanced microtubering rather than 10oC or 20oC. The temperature affected the production of aconitine-type alkaloids, demonstrating that the contents of mesaconitine and hypaconitine were higher at 20oC than at 15 and 10oC.",The effect of culturing temperature on the establishment of transplantation to soil，the microtuber formation from the clonally propagated shoots and the aconitine-type alkaloid content were investigated.,Clonal A. carmichaelii plants were produced by shoot tip culture,In vitro shoots,,Rooted plantlets were cultured under the dark condition in the growth cabinet at 15oC for 6 weeks to induce microbubers.,MS medium supplemented with IAA 0.5mg/L in 16 h light from cool white fluorescent tubes (20001ux at 20 士 10oC for 4 weeks.,Stored microtubers in a refregerator (4oC) for 3 months were cultivated at 20oC.,,,,Mesaconitine， aconitine and hypaconitine,HPLC system,,,,,,,
62,Akebia quinata Decne.,57,Akebia_quinata-Ref-1,57,Akebia_quinata-Ref-1,"生田ら, 植物組織培養別(2) 115 (1985)",日本語論文のため、なし,,,,,,,,,,,,,,,,,,,
62,Akebia quinata Decne.,58,Akebia_quinata-Ref-2,58,Akebia_quinata-Ref-2,"掘込ら, 群馬県園芸試験場研究報告1: 27-43 (1995)",日本語論文のため、なし,,,,,,,,,,,,,,,,,,,
172,Alisma orientale Juzepczuk,45,Alisma_orientale-Ref-1,45,Alisma_orientale-Ref-1,"Xu D. et al., Shandong Agricultural Sciences, Issue 7 , Page 5-7 (2010)","To protect the wild germplasm of Alisma orientale with the big rhizome,its asexual line was established with the rhizome as material.The results showed that the ideal medium for callus induction and subculture was MS + BA 0.3 mg/L + NH4H2PO4 50 mg/L + 2,4-D 1.6 ～ 2.0 mg/L;the ideal medium for callus differentiation was MS + NAA 0.1 mg/L + AgNO3 0.5 mg/L + GA3 1.0 mg/L + BA 0.9 mg/L;the optimum medium for rooting of adventitious buds was the liquid medium with 1 /2 MS + IAA 0.2 mg/L + NAA 0.1 mg/L.The tube seedlings could be transplanted easily in the greenhouse,and grew vigorously with the big rhizome when transplanted to the origin.",,,,,,,,,,,,,,,,,,,
173,Anemarrhena asphodeloides Bunge,114,Anemarrhena_asphodeloides-Ref-1,114,Anemarrhena_asphodeloides-Ref-1,Hong S.R. and Yin M.H. Plant Cell Tiss. Cult. 109: 287-296 (2012),"Embryogenic calli of Anemarrhena asphodeloides Bunge were successfully cryopreserved by vitrification. Excised embryogenic calli from in vitro grown tillers were precultured in liquid basal tissue culture medium from MS medium containing 2 mg L-1 Kinetin (Kn), 0.1 mg L-1a-naphthalene acetic acid (NAA) and 0.5 M sucrose for 2 days under continuous light at 25 ± 1C. Following preculture the calli were transferred to a 2 mL plastic cryotube. The calli was then loaded with a mixture of 2 M glycerol and 0.4 M sucrose for 30 min at 25 ± 1C and dehydrated with a highly concentrated vitrification solution (PVS2) for 40 min at 0C. After changing the solution with fresh PVS2, the calli were directly immersed in liquid nitrogen (LN). After rapid thawing in a water-bath at 35C for 5 min, the calli were then transferred onto solid MS medium supplemented with Kn 2 mg L-1, NAA 0.1 mg L-1, 3% (w/v) sucrose and 0.75% (w/v) agar. The cultures were kept in the dark for 5 days prior to exposure to the light (14 h light/dark cycle). After 30 days, the embryoids developed from embryogenic calli were transferred to fresh solid basal MS media supplemented with Kn 2 mg L-1, NAA 0.1 mg L-1, 3% (w/v) sucrose and 0.75% (w/v) agar (regeneration medium) and developed normal shoots. The regrowth rate of vitrified embryogenic calli reached over 60%. Cryopreservation did not affect the plant regeneration potential of A. asphodeloides Bunge embryogenic calli through somatic embryogenesis. Morphologies of plants regenerated from cryopreserved calli were similar to those of the seedlings. This efficient cryopreservation protocol would be useful for the ex-situ conservation of A. asphodeloides Bunge germplasm in gene banks at very low temperatures",Developing a simple and reliable protocol for the cryopreservation of embryogenic calli of A. asphodeloides Bunge by vitrification.,"Seeds of A. asphodeloides Bunge were used, which were obtained from Medicine professional cooperatives (Wutong Town, Jingning County, Zhejiang Province,China).","Strong and healthy seeds were chosen, soaked in saturated washing powder for about 20 min and were then thoroughly washed under running tap water for 30 min. Finally, seeds were surface-sterilized sequentially with 70% (v/v) alcohol for 30 s and 0.1% mercuric chloride for 15 min. The seeds were then thoroughly washed with sterile distilled water before culturing.","1/2MS-based solid medium with 30 g/L sucrose, 7.5 g/L agar was used in seed germination experiments). The pH of the medium was adjusted to 5.8–6.0 prior to autoclaving at 121℃ for 20 min. Cultures were maintained at 25 ± 1℃ with 75 ± 5% relative humidity under a 16-h photoperiod at a light intensity of 36 µmol m-2 s-1 for periods of 4 weeks. In such conditions, plantlets are developed.",,,,,,,,,,,,,,,
51,Angelica acutiloba Kitagawa,40,Angelica_acutiloba-Ref-1,40,Angelica_acutiloba-Ref-1,"Watanabe A et al., Plant Cell Reports 18: 187–192 (1998)","Angelica acutiloba, a medicinal plant used as a natural medicine Touki, was clonally propagated through axillary buds in vitro. No substantial differences were found in the random amplified polymorphic DNA (RAPD) pattern between the original A. acutiloba and the plant propagated in vitro, suggesting no changes in the DNA sequences and structure during in vitro propagation. The genetic similarities of several Angelica plants were investigated by restriction fragment length polymorphism (RFLP) and RAPD analyses. The RFLP and RAPD patterns of A. sinensis Diels were substantially different from those of A. acutiloba. Using ten different restriction enzymes, no RFLP was observed in the varieties of A. acutiloba. By RAPD analysis, A. acutiloba varieties can be classified into two major subgroups, i.e., A. acutiloba Kitagawa and A. acutiloba Kitagawa var. sugiyamae Hikino. The varieties of A. acutiloba Kitagawa in Japan and Angelica spp. in northeast China exhibited a very close genetic relationship. Angelica acutiloba, a medicinal plant used as a natural medicine Touki, was clonally propagated through axillary buds in vitro. No substantial differences were found in the random amplified polymorphic DNA (RAPD) pattern between the original A. acutiloba and the plant propagated in vitro, suggesting no changes in the DNA sequences and structure during in vitro propagation. The genetic similarities of several Angelica plants were investigated by restriction fragment length polymorphism (RFLP) and RAPD analyses. The RFLP and RAPD patterns of A. sinensis Diels were substantially different from those of A. acutiloba. Using ten different restriction enzymes, no RFLP was observed in the varieties of A. acutiloba. By RAPD analysis, A. acutiloba varieties can be classified into two major subgroups, i.e., A. acutiloba Kitagawa and A. acutiloba Kitagawa var. sugiyamae Hikino. The varieties of A. acutiloba Kitagawa in Japan and Angelica spp. in northeast China exhibited a very close genetic relationship. Angelica acutiloba, a medicinal plant used as a natural medicine Touki, was clonally propagated through axillary buds in vitro. No substantial differences were found in the random amplified polymorphic DNA (RAPD) pattern between the original A. acutiloba and the plant propagated in vitro, suggesting no changes in the DNA sequences and structure during in vitro propagation. The genetic similarities of several Angelica plants were investigated by restriction fragment length polymorphism (RFLP) and RAPD analyses. The RFLP and RAPD patterns of A. sinensis Diels were substantially different from those of A. acutiloba. Using ten different restriction enzymes, no RFLP was observed in the varieties of A. acutiloba. By RAPD analysis, A. acutiloba varieties can be classified into two major subgroups, i.e., A. acutiloba Kitagawa and A. acutiloba Kitagawa var. sugiyamae Hikino. The varieties of A. acutiloba Kitagawa in Japan and Angelica spp. in northeast China exhibited a very close genetic relationship.",We established an alternative method of in vitro propagation of A. acutiloba and then clarified the molecular genetic relations of the several species of Angelica used as the natural medicine Touki by RFLP and RAPD analyses.,"One-year-old plants of A. acutiloba Kitagawa, cultivated in the field at Tsukuba Medicinal Plant Research Station, Natural Institude of Health Science, Tsukuba, Japan, were used to establish the shoot cultures.","The shoots (ca 2 cm length), with leaves and petioles removed, were washed in 75% EtOH for 30 s, rinsed in sterilized water once, surface-sterilized in 2% sodium hypochlorite with Tween 20 (one drop/40 ml) for 10 min and then washed with sterilized water three times.Shoot tips (ca 1 mm height) were excised with a scalpel under a stereo-binocular microscope.","Shoot tips were inoculated in 30×150 mm test tubes containing Murashige and Skoog (MS) solid medium (Murashige and Skoog 1962) containing 30 g/l sucrose and 0.2% Gelrite (pH 5.7) supplemented with 0.01 mg/l 1-naphthaleneacetic acid and 0.1 mg/l kinetin, then cultured at 25°C under 16 h light (70 mmol /m/ s)/8 h dark for 8 weeks.",The axillary buds formed from the shoot tips were transferred onto hormone-free MS solid medium and repeatedly subcultured under the same conditions to obtain sufficient materials for the experiments.,"For root induction, shoots over 3 cm in height were transferred onto MS solid medium containing 0.5 mg/l indole-3-acetic acid, and cultured under the same conditions as described above.",,,,,,,,,,,,,
51,Angelica acutiloba Kitagawa,41,Angelica_acutiloba-Ref-2（文献入手不能),41,Angelica_acutiloba-Ref-2（文献入手不能),"Miura Y. et al., Planta Medica 54(1): 79-81 (1988).",Clonal plants propagated from a single plant of a commercial variety of ANGELICA ACUTILOBA (Umbelliferae) through somatic embryoids induced in cell suspension cultures proved to be significantly more uniform with respect to the contents of medicinally important chemical constituents (ligustilide and choline) of the root when compared with seed-propagated plants.,,,,,,,,,,,,,,,,,,,
